date,portfolio_value,daily_return,drawdown
2025-12-09 03:00:00,99400.0,,0.0
2025-12-10 03:00:00,99699.49720387034,0.003013050340747947,0.0
2025-12-11 03:00:00,99761.66962418878,0.0006235981330107165,0.0
2025-12-12 03:00:00,99863.26773068761,0.001018408241176827,0.0
2025-12-15 03:00:00,100137.25075436599,0.002743581598163347,0.0
2025-12-16 03:00:00,100312.62935956789,0.0017513822666461731,0.0
2025-12-17 03:00:00,100529.90658856223,0.0021660007357151567,0.0
2025-12-18 03:00:00,100550.23369658593,0.00020219961117540208,0.0
2025-12-19 03:00:00,100531.64487194495,-0.0001848710237418727,-0.00018487102374188929
2025-12-22 03:00:00,100580.72430837428,0.0004881988799829706,0.0
2025-12-23 03:00:00,100677.61227283555,0.0009632856109111909,0.0
2025-12-24 03:00:00,100856.63522512406,0.0017781803545693364,0.0
2025-12-25 03:00:00,100991.62905817237,0.0013384725035392453,0.0
2025-12-26 03:00:00,101140.73610266876,0.0014764297386518077,0.0
2025-12-29 03:00:00,101179.62812228299,0.00038453368160928925,0.0
2025-12-30 03:00:00,101269.42190964754,0.0008874690392817186,0.0
2025-12-31 03:00:00,101299.8895621899,0.00030085737597618234,0.0
2026-01-02 03:00:00,101460.05219217604,0.0015810740828874348,0.0
