Date,Price,FundSize,Investors,fund_code
2025-12-08 03:00:00,3.772854,1013848980.41,9684,KCV
2025-12-09 03:00:00,3.784625,1019528417.36,9679,KCV
2025-12-10 03:00:00,3.79401,1023073428.45,9704,KCV
2025-12-11 03:00:00,3.810479,1039404246.37,9711,KCV
2025-12-12 03:00:00,3.820844,1048637584.77,9715,KCV
2025-12-15 03:00:00,3.825224,1046655536.48,9750,KCV
2025-12-16 03:00:00,3.82408,1055072729.99,9766,KCV
2025-12-17 03:00:00,3.820297,1058356310.2,9830,KCV
2025-12-18 03:00:00,3.817903,1059757331.19,9852,KCV
2025-12-19 03:00:00,3.81315,1058725403.19,9844,KCV
2025-12-22 03:00:00,3.829974,1064450141.2,9835,KCV
2025-12-23 03:00:00,3.848086,1066068646.02,9815,KCV
2025-12-24 03:00:00,3.85672,1065746062.55,9829,KCV
2025-12-25 03:00:00,3.873883,1072430497.89,9795,KCV
2025-12-26 03:00:00,3.875303,1072823494.03,9795,KCV
2025-12-29 03:00:00,3.893072,1074774635.35,9801,KCV
2025-12-30 03:00:00,3.881255,1087672115.96,9837,KCV
2025-12-31 03:00:00,3.898668,1111178204.46,9857,KCV
2026-01-02 03:00:00,3.909537,1120728778.93,9852,KCV
